Frame,Time (ns),Solvent accessible surface area
1,0.0,195.79757584765048
2,0.100002,203.27169925085659
3,0.200004,220.50760895239816
4,0.30000600000000005,210.1322017862357
5,0.400008,186.57243601896275
6,0.50001,185.70293911986585
7,0.6000120000000001,224.29352481239158
8,0.700014,171.0888354137229
9,0.800016,168.96434740424533
10,0.900018,148.3894668545644
11,1.00002,201.6205807372314
12,1.1000219999999998,152.64912491796196
13,1.2000240000000002,163.4855163758499
14,1.3000260000000001,178.9902661368514
15,1.400028,167.67721592310113
16,1.50003,159.79490895185785
17,1.600032,155.43655759218709
18,1.700034,158.59635294157238
19,1.800036,198.08630074553375
20,1.9000380000000001,179.52012201520301
21,2.00004,188.52559716688475
22,2.1000419999999997,173.69751502306767
23,2.2000439999999997,169.49598815901106
24,2.300046,217.17698865274974
25,2.4000480000000004,156.58084772515738
26,2.5000500000000003,178.010228335624
27,2.6000520000000003,172.1274815718429
28,2.700054,172.77196720179674
29,2.800056,174.94136904924255
30,2.900058,185.48119109440137
31,3.00006,203.61124834765934
32,3.100062,155.372341921336
33,3.200064,171.81656689664428
34,3.300066,165.69899951393242
35,3.400068,158.5452445909505
36,3.50007,147.81631846238952
37,3.600072,156.62138459307002
38,3.700074,175.49562436031573
39,3.8000760000000002,166.79769903627636
40,3.900078,164.55052942277078
41,4.00008,157.5966925404968
42,4.1000820000000004,157.82774487801967
43,4.2000839999999995,185.60301285460204
44,4.300086,175.19816860351773
45,4.400087999999999,192.80434233631303
46,4.50009,172.11148625046883
47,4.600092,173.44877859269124
48,4.700094,163.01374160832498
49,4.800096000000001,190.2890231192622
50,4.900098,188.89524934236005
51,5.000100000000001,220.95671334968992
52,5.100102,214.130116667156
53,5.2001040000000005,201.1445953911503
54,5.3001059999999995,184.95681085758136
55,5.400108,222.58804483005437
56,5.500109999999999,186.6452201451084
57,5.600112,193.21301626111028
58,5.700114,200.17097893796046
59,5.800116,196.92743509312436
60,5.900118,198.70282499383106
61,6.00012,170.86221364775938
62,6.100122000000001,174.8676051576716
63,6.200124,193.7748123153615
64,6.300126000000001,178.52568653144564
65,6.400128,170.32255291702336
66,6.50013,181.2672487545953
67,6.600132,181.99194538613884
68,6.700134,145.53257245866186
69,6.800136,142.48541003398864
70,6.900138,150.3226906657245
71,7.00014,165.47760042793618
72,7.100142,160.91138355422478
73,7.200144,162.68437888133082
74,7.300146,174.07427995421963
75,7.400148,170.2652729787385
76,7.5001500000000005,127.9542076998738
77,7.6001520000000005,148.0388333832457
78,7.700154,158.04458992017481
79,7.800156,142.47131887670787
80,7.900158,147.93358045736434
81,8.00016,171.10644689715866
82,8.100162000000001,159.9935022746248
83,8.200164000000001,154.63006458120867
84,8.300166,155.89909719824672
85,8.400167999999999,179.6569471312367
86,8.50017,165.6451736398177
87,8.600172,176.57680194531048
88,8.700174,188.25212895959802
89,8.800175999999999,209.41985139484393
90,8.900178,185.52453464326493
91,9.00018,191.25656583577614
92,9.100182,181.19438279722775
93,9.200184,196.88387980409493
94,9.300186,186.88671522067452
95,9.400188,189.72875568074
96,9.50019,188.99006753637767
97,9.600192000000002,187.0620955863774
98,9.700194,194.58330244221835
99,9.800196,204.46299426886944
100,9.900198,207.0333742629723
101,10.000200000000001,205.45717650814325
102,10.100202,219.6698417164149
103,10.200204,210.8629371675863
104,10.300206,206.0185543510897
105,10.400208000000001,173.7823368581643
106,10.500210000000001,199.55247126416407
107,10.600211999999999,219.07262448951715
108,10.700214,234.0876163305967
109,10.800216,208.6192044534127
110,10.900218,262.505625239397
111,11.000219999999999,185.74134183151236
112,11.100222,213.79649941689647
113,11.200224,194.45518221191116
114,11.300226,216.04035761913624
115,11.400228,157.66303892555672
116,11.50023,225.84400357949258
117,11.600232,220.93703504685203
118,11.700234,224.2799862699791
119,11.800236,189.67710604338404
120,11.900238,196.82578580350304
121,12.00024,192.17279557287748
122,12.100242,191.22558800407046
123,12.200244000000001,189.05292533926007
124,12.300246000000001,204.93845666112352
125,12.400248,207.39094010648424
126,12.50025,190.24567318191933
127,12.600252000000001,164.13870114432422
128,12.700254000000001,163.2367710566957
129,12.800256,230.01379887049364
130,12.900258,184.84401526014625
131,13.00026,157.9801313506742
132,13.100262,160.28533229381125
133,13.200264,151.21615932789732
134,13.300265999999999,166.11143238575727
135,13.400268,167.04845376370884
