Frame,Time (ns),Solvent accessible surface area
1,0.0,15988.683865122857
2,0.100002,16556.62666657688
3,0.200004,16382.492195717601
4,0.30000600000000005,16054.884009147996
5,0.400008,15854.83005444244
6,0.50001,15684.3125386102
7,0.6000120000000001,15813.316032615281
8,0.700014,16091.11076153587
9,0.800016,16120.456969611498
10,0.900018,15888.826188883435
11,1.00002,15932.447438134162
12,1.1000219999999998,15895.670222900571
13,1.2000240000000002,15643.79955788253
14,1.3000260000000001,15583.524592715872
15,1.400028,15364.255719810746
16,1.50003,15171.085289005172
17,1.600032,15628.132649920992
18,1.700034,15514.144265507086
19,1.800036,15235.19340122443
20,1.9000380000000001,15009.17785019907
21,2.00004,14906.45141869158
22,2.1000419999999997,15245.50116538322
23,2.2000439999999997,15207.84070849563
24,2.300046,15064.886867687308
25,2.4000480000000004,15090.175074746796
26,2.5000500000000003,14978.505037619794
27,2.6000520000000003,15243.72884481066
28,2.700054,15243.987080309522
29,2.800056,15044.033458231059
30,2.900058,14972.889398437406
31,3.00006,14796.221394488044
32,3.100062,15029.102498761973
33,3.200064,15063.330473142027
34,3.300066,15044.170123592885
35,3.400068,15105.705156523123
36,3.50007,15152.607204184167
37,3.600072,15045.127805829561
38,3.700074,15023.599298160632
39,3.8000760000000002,15001.964790267495
40,3.900078,14802.652885025906
41,4.00008,14798.049243520469
42,4.1000820000000004,15242.354962209047
43,4.2000839999999995,15099.971682399162
44,4.300086,14501.217561260253
45,4.400087999999999,14664.362386980689
46,4.50009,15108.154893161778
47,4.600092,15646.197928064064
48,4.700094,15245.873850502687
49,4.800096000000001,15553.064840694655
50,4.900098,15993.739631563742
51,5.000100000000001,15722.619225771088
52,5.100102,15207.362766650205
53,5.2001040000000005,15021.376394835388
54,5.3001059999999995,15460.876148161644
55,5.400108,15363.922312432955
56,5.500109999999999,15645.36652839013
57,5.600112,15664.056670114953
58,5.700114,15478.501387067172
59,5.800116,15652.379466927589
60,5.900118,15529.078446245425
61,6.00012,15411.307257585642
62,6.100122000000001,15509.280509166058
63,6.200124,15187.220873851878
64,6.300126000000001,15336.595289181985
65,6.400128,15217.837976216142
66,6.50013,15356.6734338487
67,6.600132,15332.516723648187
68,6.700134,15245.046199893237
69,6.800136,14950.771508028662
70,6.900138,14806.105696171733
71,7.00014,14832.779815968506
72,7.100142,14686.523459437189
73,7.200144,14922.910152156517
74,7.300146,15050.15781305002
75,7.400148,14868.221245846924
76,7.5001500000000005,14936.275445439433
77,7.6001520000000005,14921.8017559061
78,7.700154,14456.122801620544
79,7.800156,14856.005777768545
80,7.900158,14839.279967089093
81,8.00016,14376.422451394606
