pH;Ionization_1;Ionization_2;Ionization_3;Ionization_4;Ionization_5;Ionization_6;Ionization_7;Ionization_8;Ionization_9;Ionization_10;Ionization_11
11;0.069;9.111;4.001;85.378;0.645;0.585;0.018;0.001;0;0;0
11;0.045;7.415;3.256;87.477;0.832;0.754;0.023;0.001;0;0;0
11;0.029;5.997;2.634;89.075;1.067;0.967;0.029;0.002;0;0;0
11;0.018;4.824;2.118;90.203;1.36;1.233;0.037;0.003;0.001;0;0
11;0.012;3.861;1.695;90.886;1.725;1.564;0.047;0.004;0.001;0.001;0
11;0.007;3.076;1.351;91.141;2.177;1.974;0.059;0.007;0.001;0.001;0
12;0.005;2.439;1.071;90.975;2.736;2.481;0.074;0.011;0.002;0.002;0
12;0.003;1.924;0.845;90.382;3.422;3.103;0.093;0.018;0.003;0.003;0
12;0.002;1.511;0.664;89.349;4.259;3.861;0.116;0.028;0.005;0.004;0
12;0.001;1.18;0.518;87.85;5.272;4.78;0.143;0.043;0.008;0.006;0
12;0.001;0.916;0.402;85.854;6.486;5.88;0.176;0.067;0.013;0.01;0
12;0;0.706;0.31;83.33;7.925;7.185;0.215;0.103;0.02;0.015;0
12;0;0.54;0.237;80.249;9.608;8.711;0.261;0.157;0.031;0.023;0
12;0;0.41;0.18;76.591;11.545;10.467;0.314;0.237;0.047;0.034;0.001
12;0;0.307;0.135;72.361;13.731;12.449;0.373;0.355;0.07;0.051;0.001
12;0;0.228;0.1;67.586;16.146;14.639;0.439;0.526;0.103;0.076;0.003
13;0;0.167;0.073;62.329;18.746;16.996;0.509;0.769;0.151;0.11;0.005
13;0;0.121;0.053;56.691;21.465;19.461;0.583;1.108;0.218;0.159;0.009
13;0;0.086;0.038;50.803;24.216;21.955;0.658;1.574;0.309;0.226;0.016
13;0;0.06;0.026;44.819;26.895;24.384;0.731;2.201;0.432;0.316;0.028
13;0;0.042;0.018;38.904;29.391;26.647;0.799;3.028;0.595;0.435;0.049
